,OPERA,MES,TIPOVUELO,SIGLADES,DIANOM,atraso_15
22253,Air Canada,5,I,Toronto,Jueves,0
19390,Grupo LATAM,4,N,Antofagasta,Martes,0
27228,Grupo LATAM,5,I,Buenos Aires,Viernes,0
12647,Grupo LATAM,3,I,Rio de Janeiro,Lunes,0
23274,Sky Airline,5,N,Punta Arenas,Jueves,0
22857,Gol Trans,5,I,Sao Paulo,Viernes,1
7538,Sky Airline,2,N,Concepcion,Jueves,0
47445,Grupo LATAM,9,N,Puerto Montt,Miercoles,0
1552,Sky Airline,1,N,Temuco,Lunes,0
3394,Grupo LATAM,1,N,Concepcion,Lunes,0
37419,Grupo LATAM,7,I,Guayaquil,Sabado,1
52362,Grupo LATAM,10,N,Antofagasta,Lunes,0
35810,Grupo LATAM,7,N,Temuco,Lunes,1
39811,Sky Airline,8,N,Osorno,Jueves,0
56301,Copa Air,11,I,Ciudad de Panama,Lunes,1
50196,Copa Air,10,I,Ciudad de Panama,Lunes,0
67431,Grupo LATAM,12,I,Florianapolis,Sabado,0
21741,Grupo LATAM,4,I,Sao Paulo,Lunes,0
37544,Grupo LATAM,7,I,Ciudad de Mexico,Sabado,0
52637,Grupo LATAM,10,N,Iquique,Viernes,1
19841,Grupo LATAM,4,N,Concepcion,Lunes,0
59848,Grupo LATAM,11,N,Calama,Sabado,0
60620,Grupo LATAM,11,I,Lima,Domingo,0
9784,Grupo LATAM,2,N,Puerto Montt,Domingo,0
57534,Sky Airline,11,N,Calama,Miercoles,0
48907,Grupo LATAM,9,I,Ciudad de Mexico,Miercoles,0
67023,Grupo LATAM,12,I,Lima,Martes,1
52087,Sky Airline,10,I,Lima,Domingo,0
22243,Air Canada,5,I,Buenos Aires,Jueves,0
11403,Grupo LATAM,2,N,Punta Arenas,Sabado,0
26448,Grupo LATAM,5,I,Cordoba,Jueves,0
76,American Airlines,1,I,Dallas,Domingo,1
65686,Grupo LATAM,12,N,Punta Arenas,Jueves,1
6886,Grupo LATAM,2,I,Asuncion,Martes,0
23621,Sky Airline,5,N,La Serena,Lunes,1
37673,Grupo LATAM,7,I,Lima,Viernes,0
52206,Grupo LATAM,10,N,Punta Arenas,Miercoles,0
31211,Grupo LATAM,6,I,Mendoza,Domingo,0
55429,Latin American Wings,10,I,Lima,Viernes,0
45401,Sky Airline,9,N,Puerto Montt,Martes,0
52416,Grupo LATAM,10,N,Antofagasta,Viernes,0
18810,Sky Airline,4,N,Antofagasta,Martes,0
17360,Aerolineas Argentinas,4,I,Buenos Aires,Domingo,0
21474,Grupo LATAM,4,I,Bogota,Miercoles,0
23893,Sky Airline,5,N,Antofagasta,Viernes,0
66532,Grupo LATAM,12,I,Buenos Aires,Jueves,1
50542,Oceanair Linhas Aereas,10,I,Sao Paulo,Sabado,0
34279,Sky Airline,7,N,Calama,Miercoles,1
9712,Grupo LATAM,2,N,Balmaceda,Jueves,0
56130,Avianca,11,I,Bogota,Domingo,1
12024,Avianca,3,I,Bogota,Miercoles,0
66979,Grupo LATAM,12,I,Lima,Miercoles,0
54748,Grupo LATAM,10,I,Lima,Sabado,0
13945,Grupo LATAM,3,N,Castro (Chiloe),Viernes,0
63997,Sky Airline,12,N,Iquique,Viernes,1
15983,Grupo LATAM,3,I,Buenos Aires,Viernes,0
68055,JetSmart SPA,12,N,Copiapo,Sabado,0
34128,Sky Airline,7,N,La Serena,Sabado,0
64564,Grupo LATAM,12,N,Punta Arenas,Martes,0
67379,Grupo LATAM,12,N,Antofagasta,Viernes,0
36581,Grupo LATAM,7,N,Antofagasta,Jueves,1
34739,Sky Airline,7,I,Mendoza,Viernes,1
39244,United Airlines,8,I,Houston,Jueves,0
9619,Grupo LATAM,2,N,Balmaceda,Jueves,0
62436,Copa Air,12,I,Ciudad de Panama,Lunes,0
20207,Grupo LATAM,4,N,Puerto Montt,Lunes,0
44570,Copa Air,9,I,Ciudad de Panama,Viernes,0
28293,Grupo LATAM,6,I,Sao Paulo,Miercoles,0
5571,Grupo LATAM,1,I,Montevideo,Martes,0
28579,Sky Airline,6,N,Valdivia,Jueves,1
51906,Sky Airline,10,I,Buenos Aires,Domingo,0
30827,Grupo LATAM,6,N,Antofagasta,Viernes,1
54565,Grupo LATAM,10,I,Bogota,Jueves,1
45786,Sky Airline,9,N,Calama,Viernes,0
35885,Grupo LATAM,7,N,Temuco,Sabado,0
10711,Grupo LATAM,2,I,Bogota,Miercoles,0
43137,Grupo LATAM,8,I,Miami,Miercoles,0
5520,Grupo LATAM,1,N,Isla de Pascua,Lunes,0
59011,Grupo LATAM,11,N,Concepcion,Jueves,0
47913,Grupo LATAM,9,N,Antofagasta,Sabado,0
4598,Grupo LATAM,1,N,Iquique,Viernes,0
44942,United Airlines,9,I,Houston,Sabado,0
57622,Sky Airline,11,N,Antofagasta,Miercoles,1
42426,Grupo LATAM,8,N,Calama,Martes,0
51199,Sky Airline,10,N,Concepcion,Jueves,0
44342,Aerolineas Argentinas,9,I,Buenos Aires,Domingo,1
61727,JetSmart SPA,11,N,Copiapo,Martes,0
15267,Grupo LATAM,3,N,Punta Arenas,Martes,0
66209,Grupo LATAM,12,N,Arica,Viernes,0
61921,American Airlines,12,I,Dallas,Viernes,0
19608,Grupo LATAM,4,N,Calama,Martes,0
33076,Delta Air,7,I,Atlanta,Martes,0
57745,Sky Airline,11,N,Iquique,Jueves,0
31105,Grupo LATAM,6,I,Montevideo,Miercoles,0
59722,Grupo LATAM,11,N,Copiapo,Jueves,0
57081,Sky Airline,11,N,Puerto Montt,Lunes,0
25754,Grupo LATAM,5,N,Antofagasta,Jueves,0
38225,Latin American Wings,7,N,Concepcion,Domingo,0
67587,Grupo LATAM,12,I,Lima,Miercoles,0
58128,Grupo LATAM,11,N,Puerto Natales,Sabado,0
65730,Grupo LATAM,12,N,Puerto Montt,Sabado,0
56779,Grupo LATAM,11,I,Sao Paulo,Martes,0
14633,Grupo LATAM,3,N,Concepcion,Miercoles,0
13778,Sky Airline,3,I,Mendoza,Miercoles,0
20939,Grupo LATAM,4,I,Montevideo,Sabado,0
57501,Sky Airline,11,N,Calama,Martes,0
56274,Copa Air,11,I,Ciudad de Panama,Lunes,0
39968,Sky Airline,8,N,Concepcion,Domingo,1
35812,Grupo LATAM,7,N,Temuco,Miercoles,1
8967,Grupo LATAM,2,N,Iquique,Sabado,1
54433,Grupo LATAM,10,I,Miami,Jueves,0
44241,Air France,9,I,Paris,Miercoles,0
22657,Copa Air,5,I,Ciudad de Panama,Lunes,0
26542,Grupo LATAM,5,I,Miami,Domingo,0
1766,Sky Airline,1,N,Calama,Sabado,0
21617,Grupo LATAM,4,I,Lima,Viernes,0
47672,Grupo LATAM,9,N,Punta Arenas,Miercoles,0
30760,Grupo LATAM,6,N,Antofagasta,Viernes,0
15978,Grupo LATAM,3,I,Buenos Aires,Domingo,0
6270,Aeromexico,2,I,Ciudad de Mexico,Lunes,0
57648,Sky Airline,11,N,Antofagasta,Lunes,0
62039,Aerolineas Argentinas,12,I,Buenos Aires,Sabado,0
32463,Air Canada,7,I,Buenos Aires,Viernes,0
10373,Grupo LATAM,2,N,Arica,Martes,0
55766,JetSmart SPA,10,N,Temuco,Domingo,0
17415,Aerolineas Argentinas,4,I,Buenos Aires,Viernes,0
49066,Grupo LATAM,9,I,Sao Paulo,Martes,0
31162,Grupo LATAM,6,I,Mendoza,Miercoles,0
62743,United Airlines,12,I,Houston,Martes,0
49715,JetSmart SPA,9,N,Concepcion,Lunes,0
68143,JetSmart SPA,12,N,Puerto Montt,Sabado,0
67781,Latin American Wings,12,I,Mendoza,Jueves,1
24003,Sky Airline,5,N,Iquique,Viernes,1
23200,Grupo LATAM,5,I,Sao Paulo,Lunes,1
6629,Copa Air,2,I,Ciudad de Panama,Jueves,0
15588,Grupo LATAM,3,N,Calama,Jueves,0
56555,United Airlines,11,I,Houston,Jueves,0
53645,Grupo LATAM,10,N,Antofagasta,Jueves,0
8993,Grupo LATAM,2,N,Iquique,Lunes,0
55616,JetSmart SPA,10,N,La Serena,Jueves,0
66020,Grupo LATAM,12,N,Antofagasta,Lunes,0
6258,Aeromexico,2,I,Ciudad de Mexico,Martes,0
16691,Grupo LATAM,3,N,Isla de Pascua,Jueves,0
22906,K.L.M.,5,I,Buenos Aires,Lunes,0
45446,Sky Airline,9,N,Valdivia,Miercoles,0
53423,Grupo LATAM,10,N,Punta Arenas,Sabado,0
37417,Grupo LATAM,7,I,Guayaquil,Sabado,0
19838,Grupo LATAM,4,N,Concepcion,Miercoles,1
14271,Grupo LATAM,3,N,Calama,Lunes,0
8765,Grupo LATAM,2,N,Antofagasta,Domingo,0
17781,Gol Trans,4,I,Sao Paulo,Lunes,0
44806,Gol Trans,9,I,Sao Paulo,Domingo,1
53537,Grupo LATAM,10,N,La Serena,Domingo,0
46583,Grupo LATAM,9,N,Antofagasta,Viernes,0
46375,Sky Airline,9,I,Lima,Domingo,0
29618,Grupo LATAM,6,N,Antofagasta,Martes,1
5662,Grupo LATAM,1,I,Mendoza,Miercoles,0
66922,Grupo LATAM,12,I,Ciudad de Mexico,Miercoles,0
296,Aerolineas Argentinas,1,I,Buenos Aires,Jueves,0
7496,Sky Airline,2,N,Concepcion,Viernes,0
3138,Grupo LATAM,1,N,Antofagasta,Viernes,0
11763,Air Canada,3,I,Buenos Aires,Miercoles,0
55343,Grupo LATAM,10,I,Neuquen,Miercoles,0
65409,Grupo LATAM,12,N,Temuco,Jueves,0
27237,Grupo LATAM,5,I,Buenos Aires,Lunes,0
22598,Alitalia,5,I,Roma,Jueves,0
65384,Grupo LATAM,12,N,Temuco,Domingo,0
41382,Grupo LATAM,8,N,Iquique,Martes,0
1263,Sky Airline,1,N,Punta Arenas,Sabado,0
1612,Sky Airline,1,N,Concepcion,Viernes,0
13264,Sky Airline,3,N,Calama,Lunes,0
45612,Sky Airline,9,N,Concepcion,Sabado,0
20622,Grupo LATAM,4,N,Antofagasta,Miercoles,0
51231,Sky Airline,10,N,Concepcion,Viernes,0
52264,Grupo LATAM,10,N,Copiapo,Viernes,1
49853,Air France,10,I,Paris,Domingo,0
32178,Grupo LATAM,6,I,Buenos Aires,Domingo,0
9929,Grupo LATAM,2,N,La Serena,Sabado,0
46413,Sky Airline,9,I,Lima,Lunes,0
44841,Gol Trans,9,I,Rio de Janeiro,Viernes,0
51069,Sky Airline,10,N,Osorno,Lunes,0
59160,Grupo LATAM,11,N,Temuco,Sabado,0
34277,Sky Airline,7,N,Calama,Domingo,0
21277,Grupo LATAM,4,I,Cordoba,Jueves,0
66133,Grupo LATAM,12,N,Calama,Miercoles,0
23048,Grupo LATAM,5,I,Sao Paulo,Lunes,0
54391,Grupo LATAM,10,I,Cordoba,Sabado,0
54472,Grupo LATAM,10,I,Lima,Sabado,0
50483,Lacsa,10,I,Lima,Jueves,0
37969,Grupo LATAM,7,I,Cancun,Miercoles,0
53544,Grupo LATAM,10,N,La Serena,Lunes,0
19891,Grupo LATAM,4,N,Concepcion,Viernes,0
18969,Sky Airline,4,N,Arica,Viernes,0
32125,Grupo LATAM,6,I,Lima,Viernes,0
48898,Grupo LATAM,9,I,Ciudad de Mexico,Lunes,0
20595,Grupo LATAM,4,N,Copiapo,Viernes,0
36672,Grupo LATAM,7,N,Calama,Sabado,0
15661,Grupo LATAM,3,N,Calama,Miercoles,0
44224,Air France,9,I,Paris,Sabado,0
57617,Sky Airline,11,N,Antofagasta,Martes,1
62338,Copa Air,12,I,Ciudad de Panama,Martes,0
39066,Gol Trans,8,I,Sao Paulo,Viernes,0
19128,Sky Airline,4,I,Montevideo,Domingo,0
13704,Sky Airline,3,I,Buenos Aires,Jueves,0
55510,JetSmart SPA,10,N,Calama,Lunes,0
38350,Latin American Wings,7,I,Lima,Jueves,0
10257,Grupo LATAM,2,N,Calama,Lunes,0
50270,Copa Air,10,I,Ciudad de Panama,Domingo,0
56132,Avianca,11,I,Bogota,Martes,0
16289,Grupo LATAM,3,I,Lima,Viernes,1
37751,Grupo LATAM,7,I,Sao Paulo,Martes,1
60674,Grupo LATAM,11,I,Bogota,Lunes,0
45532,Sky Airline,9,N,Temuco,Jueves,1
12944,Sky Airline,3,N,Temuco,Domingo,0
52954,Grupo LATAM,10,N,Concepcion,Domingo,0
10637,Grupo LATAM,2,I,Miami,Martes,0
51136,Sky Airline,10,N,Temuco,Jueves,1
46950,Grupo LATAM,9,N,Iquique,Viernes,0
19451,Grupo LATAM,4,N,Antofagasta,Miercoles,0
57816,Sky Airline,11,N,Arica,Miercoles,0
33132,Gol Trans,7,I,Sao Paulo,Miercoles,1
45719,Sky Airline,9,N,Copiapo,Jueves,0
22702,Copa Air,5,I,Ciudad de Panama,Sabado,0
64012,Sky Airline,12,N,Iquique,Lunes,1
24833,Grupo LATAM,5,N,Iquique,Lunes,0
63571,Sky Airline,12,N,Copiapo,Domingo,0
30975,Grupo LATAM,6,N,Calama,Sabado,0
5861,Grupo LATAM,1,I,Guayaquil,Miercoles,0
39558,Grupo LATAM,8,I,Rio de Janeiro,Jueves,1
53462,Grupo LATAM,10,N,La Serena,Domingo,0
999,Grupo LATAM,1,I,Sao Paulo,Miercoles,0
58007,Sky Airline,11,I,Cordoba,Viernes,0
46970,Grupo LATAM,9,N,Iquique,Domingo,0
43850,Grupo LATAM,8,I,Buenos Aires,Martes,0
10561,Grupo LATAM,2,I,Buenos Aires,Viernes,0
17278,Air France,4,I,Paris,Jueves,0
54710,Grupo LATAM,10,I,Lima,Viernes,0
13900,Sky Airline,3,I,Lima,Miercoles,0
48809,Grupo LATAM,9,I,Bogota,Domingo,0
3253,Grupo LATAM,1,N,Iquique,Miercoles,0
24139,Sky Airline,5,I,Buenos Aires,Miercoles,1
60944,Grupo LATAM,11,I,Sao Paulo,Miercoles,1
66827,Grupo LATAM,12,I,Bogota,Sabado,0
58715,Grupo LATAM,11,N,Iquique,Viernes,0
13239,Sky Airline,3,N,Calama,Viernes,0
45820,Sky Airline,9,N,Calama,Jueves,0
35379,Grupo LATAM,7,N,Iquique,Viernes,0
46067,Sky Airline,9,N,Iquique,Miercoles,0
25524,Grupo LATAM,5,N,Punta Arenas,Lunes,0
8546,Grupo LATAM,2,N,Punta Arenas,Lunes,0
65235,Grupo LATAM,12,N,Concepcion,Martes,0
39759,Sky Airline,8,N,Puerto Montt,Jueves,0
34787,Sky Airline,7,I,Montevideo,Lunes,1
54313,Grupo LATAM,10,I,Buenos Aires,Lunes,0
56538,Qantas Airways,11,I,Sydney,Viernes,1
6922,Grupo LATAM,2,I,Sao Paulo,Domingo,0
34854,Sky Airline,7,I,Lima,Jueves,0
13191,Sky Airline,3,N,Copiapo,Jueves,1
55245,Grupo LATAM,10,I,Lima,Domingo,0
18666,Sky Airline,4,N,Calama,Viernes,1
44581,Copa Air,9,I,Ciudad de Panama,Miercoles,0
20370,Grupo LATAM,4,N,Punta Arenas,Jueves,0
67042,Grupo LATAM,12,I,Sao Paulo,Jueves,0
19349,Grupo LATAM,4,N,Antofagasta,Jueves,0
7650,Sky Airline,2,N,Copiapo,Miercoles,0
67114,Grupo LATAM,12,I,Sao Paulo,Sabado,0
1249,Sky Airline,1,N,Puerto Montt,Domingo,0
8279,Sky Airline,2,I,Montevideo,Lunes,0
27263,Latin American Wings,5,N,Puerto Montt,Miercoles,0
54103,Grupo LATAM,10,I,Mendoza,Lunes,1
34351,Sky Airline,7,N,Antofagasta,Domingo,0
21267,Grupo LATAM,4,I,Cordoba,Sabado,0
44529,Avianca,9,I,Bogota,Sabado,0
38566,Aerolineas Argentinas,8,I,Buenos Aires,Viernes,0
5723,Grupo LATAM,1,I,Mendoza,Miercoles,1
22456,Aerolineas Argentinas,5,I,Buenos Aires,Miercoles,0
64080,Sky Airline,12,N,Arica,Jueves,1
16960,Grupo LATAM,3,I,Lima,Jueves,0
22115,Latin American Wings,4,I,Lima,Viernes,1
63265,Sky Airline,12,N,Valdivia,Martes,0
26849,Grupo LATAM,5,I,Lima,Lunes,0
16121,Grupo LATAM,3,I,Miami,Sabado,0
40946,Grupo LATAM,8,N,Antofagasta,Martes,0
34682,Sky Airline,7,I,Buenos Aires,Sabado,0
14942,Grupo LATAM,3,N,Puerto Montt,Domingo,0
32519,Air France,7,I,Paris,Sabado,0
57582,Sky Airline,11,N,Antofagasta,Jueves,0
40329,Sky Airline,8,N,Antofagasta,Sabado,0
12755,Sky Airline,3,N,Punta Arenas,Sabado,0
20766,Grupo LATAM,4,N,Calama,Jueves,0
64763,Grupo LATAM,12,N,Antofagasta,Jueves,1
23019,Grupo LATAM,5,I,Sao Paulo,Lunes,0
11522,Grupo LATAM,2,I,Lima,Miercoles,1
66856,Grupo LATAM,12,I,Bogota,Jueves,0
33225,K.L.M.,7,I,Buenos Aires,Miercoles,0
51497,Sky Airline,10,N,Calama,Jueves,0
36387,Grupo LATAM,7,N,La Serena,Martes,1
64977,Grupo LATAM,12,N,Iquique,Sabado,0
34838,Sky Airline,7,I,Lima,Viernes,0
31312,Grupo LATAM,6,I,Buenos Aires,Miercoles,1
58340,Grupo LATAM,11,N,Copiapo,Miercoles,0
12881,Sky Airline,3,N,Valdivia,Jueves,0
15162,Grupo LATAM,3,N,Punta Arenas,Martes,0
58086,Sky Airline,11,I,Lima,Jueves,1
36176,Grupo LATAM,7,N,Puerto Montt,Sabado,0
48111,Grupo LATAM,9,N,Calama,Sabado,0
44278,Aeromexico,9,I,Ciudad de Mexico,Jueves,0
35863,Grupo LATAM,7,N,Temuco,Martes,0
41366,Grupo LATAM,8,N,Iquique,Jueves,0
33414,Grupo LATAM,7,I,Sao Paulo,Miercoles,0
3012,Grupo LATAM,1,N,Calama,Sabado,0
10054,Grupo LATAM,2,N,Antofagasta,Domingo,0
62932,Grupo LATAM,12,I,Rio de Janeiro,Lunes,0
27046,Grupo LATAM,5,N,Iquique,Lunes,1
41504,Grupo LATAM,8,N,Concepcion,Domingo,0
24791,Grupo LATAM,5,N,Iquique,Jueves,0
43880,Latin American Wings,8,N,Concepcion,Domingo,0
6609,Copa Air,2,I,Ciudad de Panama,Viernes,1
49252,Grupo LATAM,9,I,Guayaquil,Lunes,0
41293,Grupo LATAM,8,N,Iquique,Miercoles,0
65706,Grupo LATAM,12,N,Punta Arenas,Jueves,1
57166,Sky Airline,11,N,Temuco,Jueves,1
55816,American Airlines,11,I,Dallas,Lunes,0
42326,Grupo LATAM,8,N,Antofagasta,Jueves,0
45999,Sky Airline,9,N,Antofagasta,Viernes,0
60985,Grupo LATAM,11,I,Auckland N.Z.,Domingo,1
7254,Sky Airline,2,N,Punta Arenas,Domingo,0
9151,Grupo LATAM,2,N,Concepcion,Lunes,0
13518,Sky Airline,3,N,Iquique,Domingo,0
24838,Grupo LATAM,5,N,Iquique,Viernes,0
60033,Grupo LATAM,11,N,Arica,Domingo,0
29953,Grupo LATAM,6,N,Iquique,Jueves,0
7425,Sky Airline,2,N,Temuco,Miercoles,0
14415,Grupo LATAM,3,N,Iquique,Lunes,0
10782,Grupo LATAM,2,I,Lima,Lunes,0
50139,British Airways,10,I,Londres,Domingo,0
9930,Grupo LATAM,2,N,La Serena,Domingo,0
37491,Grupo LATAM,7,I,Lima,Miercoles,0
4971,Grupo LATAM,1,I,Miami,Jueves,1
4645,Grupo LATAM,1,N,Arica,Viernes,0
4223,Grupo LATAM,1,N,La Serena,Lunes,0
55103,Grupo LATAM,10,N,Antofagasta,Lunes,0
59694,Grupo LATAM,11,N,Copiapo,Martes,0
34619,Sky Airline,7,N,Arica,Domingo,0
37029,Grupo LATAM,7,I,Mendoza,Lunes,0
15821,Grupo LATAM,3,I,Mendoza,Lunes,0
13733,Sky Airline,3,I,Buenos Aires,Jueves,1
32427,American Airlines,7,I,Dallas,Viernes,0
56807,Grupo LATAM,11,I,Rio de Janeiro,Miercoles,1
6491,Alitalia,2,I,Roma,Sabado,0
56430,Gol Trans,11,I,Rio de Janeiro,Miercoles,1
20535,Grupo LATAM,4,N,La Serena,Lunes,0
2571,Grupo LATAM,1,N,Temuco,Lunes,0
34123,Sky Airline,7,N,La Serena,Lunes,0
61452,Latin American Wings,11,N,Antofagasta,Jueves,0
8256,Sky Airline,2,I,Cordoba,Viernes,1
28605,Sky Airline,6,N,Temuco,Jueves,0
60720,Grupo LATAM,11,I,Lima,Miercoles,0
18618,Sky Airline,4,N,Calama,Jueves,0
20549,Grupo LATAM,4,N,La Serena,Miercoles,0
40991,Grupo LATAM,8,N,Antofagasta,Martes,0
17755,Delta Air,4,I,Atlanta,Domingo,0
61096,Grupo LATAM,11,N,Punta Arenas,Sabado,0
21321,Grupo LATAM,4,I,Miami,Miercoles,1
31950,Grupo LATAM,6,I,Auckland N.Z.,Miercoles,1
36448,Grupo LATAM,7,N,Copiapo,Miercoles,0
37311,Grupo LATAM,7,I,Miami,Sabado,1
65404,Grupo LATAM,12,N,Temuco,Sabado,0
63685,Sky Airline,12,N,Calama,Miercoles,0
42459,Grupo LATAM,8,N,Calama,Viernes,0
45728,Sky Airline,9,N,Copiapo,Sabado,0
38319,Latin American Wings,7,I,Lima,Jueves,0
28230,Grupo LATAM,6,I,Sao Paulo,Viernes,0
59124,Grupo LATAM,11,N,Temuco,Viernes,1
11965,Aerolineas Argentinas,3,I,Buenos Aires,Jueves,0
43181,Grupo LATAM,8,I,Lima,Jueves,0
55046,Grupo LATAM,10,N,Punta Arenas,Sabado,0
66283,Grupo LATAM,12,N,Arica,Sabado,0
42678,Grupo LATAM,8,I,Montevideo,Viernes,0
66068,Grupo LATAM,12,N,Calama,Miercoles,1
24023,Sky Airline,5,N,Arica,Jueves,0
19431,Grupo LATAM,4,N,Antofagasta,Lunes,0
37930,Grupo LATAM,7,I,La Paz,Jueves,1
19961,Grupo LATAM,4,N,Concepcion,Lunes,0
59998,Grupo LATAM,11,N,Arica,Viernes,0
25103,Grupo LATAM,5,N,Concepcion,Miercoles,0
44644,Copa Air,9,I,Ciudad de Panama,Sabado,0
20272,Grupo LATAM,4,N,Balmaceda,Jueves,0
62644,Lacsa,12,I,Lima,Viernes,0
31594,Grupo LATAM,6,I,Lima,Domingo,1
10362,Grupo LATAM,2,N,Arica,Lunes,0
13623,Sky Airline,3,N,Arica,Domingo,0
18691,Sky Airline,4,N,Calama,Sabado,0
36125,Grupo LATAM,7,N,Puerto Montt,Martes,1
18616,Sky Airline,4,N,Calama,Martes,0
56838,Grupo LATAM,11,I,Rio de Janeiro,Viernes,1
45981,Sky Airline,9,N,Antofagasta,Jueves,0
13033,Sky Airline,3,N,Concepcion,Jueves,0
11545,Grupo LATAM,2,I,Lima,Domingo,0
43855,Grupo LATAM,8,I,Buenos Aires,Miercoles,0
54599,Grupo LATAM,10,I,Bogota,Lunes,0
49966,Aerolineas Argentinas,10,I,Buenos Aires,Sabado,0
35643,Grupo LATAM,7,N,Concepcion,Viernes,0
9851,Grupo LATAM,2,N,Punta Arenas,Jueves,0
8080,Sky Airline,2,N,Arica,Jueves,0
27208,Grupo LATAM,5,I,Lima,Lunes,0
30616,Grupo LATAM,6,N,Punta Arenas,Viernes,1
595,Copa Air,1,I,Ciudad de Panama,Miercoles,0
14176,Grupo LATAM,3,N,Antofagasta,Jueves,0
6985,Grupo LATAM,2,I,Sao Paulo,Domingo,0
18634,Sky Airline,4,N,Calama,Sabado,0
13831,Sky Airline,3,I,Montevideo,Viernes,0
62525,Gol Trans,12,I,Sao Paulo,Miercoles,0
30058,Grupo LATAM,6,N,Arica,Viernes,1
47473,Grupo LATAM,9,N,Puerto Montt,Domingo,0
59971,Grupo LATAM,11,N,Calama,Martes,0
31843,Grupo LATAM,6,I,Madrid,Sabado,0
66369,Grupo LATAM,12,I,Mendoza,Domingo,0
26510,Grupo LATAM,5,I,Miami,Lunes,0
48334,Grupo LATAM,9,I,Mendoza,Sabado,0
571,Copa Air,1,I,Ciudad de Panama,Miercoles,0
65161,Grupo LATAM,12,N,Concepcion,Viernes,0
60432,Grupo LATAM,11,I,Buenos Aires,Miercoles,0
29968,Grupo LATAM,6,N,Iquique,Viernes,1
64580,Grupo LATAM,12,N,Punta Arenas,Martes,0
29204,Sky Airline,6,N,Arica,Martes,0
38547,Aeromexico,8,I,Ciudad de Mexico,Miercoles,0
52973,Grupo LATAM,10,N,Temuco,Domingo,0
33096,Gol Trans,7,I,Sao Paulo,Lunes,0
7242,Sky Airline,2,N,Punta Arenas,Martes,0
30023,Grupo LATAM,6,N,Arica,Jueves,0
60542,Grupo LATAM,11,I,Miami,Domingo,0
47934,Grupo LATAM,9,N,Antofagasta,Viernes,0
65015,Grupo LATAM,12,N,Iquique,Sabado,1
54912,Grupo LATAM,10,I,Sao Paulo,Sabado,0
7184,Grupo LATAM,2,I,Rio de Janeiro,Lunes,0
4934,Grupo LATAM,1,I,Buenos Aires,Jueves,0
61065,Grupo LATAM,11,I,Santa Cruz,Lunes,0
63350,Sky Airline,12,N,Temuco,Lunes,0
6364,Aerolineas Argentinas,2,I,Buenos Aires,Viernes,0
51878,Sky Airline,10,I,Buenos Aires,Sabado,0
10045,Grupo LATAM,2,N,Antofagasta,Lunes,0
45518,Sky Airline,9,N,Temuco,Lunes,1
39628,Sky Airline,8,N,Puerto Montt,Jueves,0
16187,Grupo LATAM,3,I,Nueva York,Jueves,0
1773,Sky Airline,1,N,Calama,Sabado,0
17064,Latin American Wings,3,I,Lima,Viernes,0
28652,Sky Airline,6,N,Temuco,Viernes,0
10275,Grupo LATAM,2,N,Calama,Miercoles,0
63619,Sky Airline,12,N,Calama,Lunes,0
67253,Grupo LATAM,12,N,Isla de Pascua,Miercoles,0
31632,Grupo LATAM,6,I,Bogota,Martes,0
24788,Grupo LATAM,5,N,Iquique,Lunes,0
20293,Grupo LATAM,4,N,Balmaceda,Viernes,0
27483,Air Canada,6,I,Buenos Aires,Sabado,0
36722,Grupo LATAM,7,N,Calama,Sabado,0
44879,British Airways,9,I,Londres,Viernes,1
60401,Grupo LATAM,11,I,Buenos Aires,Martes,0
14275,Grupo LATAM,3,N,Calama,Jueves,0
27425,American Airlines,6,I,Miami,Domingo,0
46353,Sky Airline,9,I,Montevideo,Viernes,0
58615,Grupo LATAM,11,N,Calama,Domingo,0
51572,Sky Airline,10,N,Antofagasta,Domingo,0
65366,Grupo LATAM,12,N,Temuco,Jueves,0
20627,Grupo LATAM,4,N,Antofagasta,Martes,0
9379,Grupo LATAM,2,N,Temuco,Martes,0
67677,Grupo LATAM,12,I,Neuquen,Miercoles,1
5471,Grupo LATAM,1,I,Florianapolis,Viernes,1
67327,Grupo LATAM,12,N,Antofagasta,Viernes,1
39915,Sky Airline,8,N,Concepcion,Jueves,0
60692,Grupo LATAM,11,I,Cancun,Sabado,0
45594,Sky Airline,9,N,Concepcion,Sabado,0
8713,Grupo LATAM,2,N,Antofagasta,Lunes,1
37301,Grupo LATAM,7,I,Miami,Sabado,0
54555,Grupo LATAM,10,I,Bogota,Lunes,0
6994,Grupo LATAM,2,I,Sao Paulo,Martes,0
64035,Sky Airline,12,N,Arica,Sabado,0
64842,Grupo LATAM,12,N,Calama,Martes,0
53540,Grupo LATAM,10,N,La Serena,Miercoles,0
56726,Grupo LATAM,11,I,Sao Paulo,Jueves,1
61278,Grupo LATAM,11,I,Lima,Lunes,1
61718,JetSmart SPA,11,N,La Serena,Jueves,0
415,Avianca,1,I,Bogota,Domingo,0
23076,Grupo LATAM,5,I,Sao Paulo,Viernes,1
48721,Grupo LATAM,9,I,Lima,Viernes,0
55094,Grupo LATAM,10,N,Antofagasta,Domingo,0
14442,Grupo LATAM,3,N,Iquique,Miercoles,0
13492,Sky Airline,3,N,Iquique,Viernes,0
9427,Grupo LATAM,2,N,Valdivia,Lunes,0
48142,Grupo LATAM,9,N,Calama,Miercoles,0
47669,Grupo LATAM,9,N,Punta Arenas,Miercoles,0
